prenom,nom,ligue,annee,equipe
Marine,Johannès,LFB,2022,E 
Alexia,Chery,LFB,2022,E 
Kariata,Diaby,LFB,2022,E 
Yvonne,Anderson,LFB,2022,E 
Kennedy,Burke,LFB,2022,E 
Marieme,Badiane,LFB,2022,E 
Nikolina,Milic,LFB,2022,E 
Oderah,Chidom,LFB,2022,E 
Sara,Chevaugeon,LFB,2022,E 
Iva,Slonjsak,LFB,2022,E 
Brianna,Fraser,LFB,2022,E 
Kamiah,Smalls,LFB,2022,E 
Leia,Dongue,LFB,2022,O
Ana,Suarez,LFB,2022,O
Tiffany,Clarke,LFB,2022,O
Carla,Leite,LFB,2022,O
MP,Foppossi,LFB,2022,O
Isabelle,Yacoubou,LFB,2022,O
Marine,Fauthoux,LFB,2022,O
Regan,Margarity,LFB,2022,O
Jasmine,Bailey,LFB,2022,O
Anete ,Steinberga ,LFB,2022,O
Kalys,Loyd,LFB,2022,O
Alexis,Peterson,LFB,2022,O
Kayla,Alexander,LFB,2023,E 
Isabelle,Yacoubou,LFB,2023,E 
Alexis,Peterson,LFB,2023,E 
Pauline,Astier,LFB,2023,E 
Sarah,Michel,LFB,2023,E 
Sam,Fuehring,LFB,2023,E 
Marie-Paule,Fopposi,LFB,2023,E 
Dominique,Malonga,LFB,2023,E 
Tiffany,Clarke,LFB,2023,E 
Carla,Leite,LFB,2023,E 
Masseny,Kaba,LFB,2023,E 
Alix,Duchet,LFB,2023,E 
Kennedy,Burke,LFB,2023,O
Gabby,Williams,LFB,2023,O
Kamiah,Smalls,LFB,2023,O
Alisia,Jenkins,LFB,2023,O
Marine,Johannes,LFB,2023,O
Julie,Allemand,LFB,2023,O
Shakayla,Thomas,LFB,2023,O
Romane,Bernies,LFB,2023,O
Monique,Akoa,LFB,2023,O
Janelle,Salaun,LFB,2023,O
Shavonte,Zellous,LFB,2023,O
Jasmine,Walker,LFB,2023,O
Monique,Akoa,LFB,2024,E 
Doms,Malonga,LFB,2024,E 
Carla,Leite,LFB,2024,E 
Coline,Franchelin,LFB,2024,E 
Romane,Bernies,LFB,2024,E 
Nicole,Enabosi,LFB,2024,E 
Ornella,Bankole,LFB,2024,E 
Laura,Quevedo,LFB,2024,E 
Tiffany,Clarke,LFB,2024,E 
Harley,Peters ,LFB,2024,E 
Ashley,Bone,LFB,2024,E 
Dulcy,Mendjiadeu ,LFB,2024,E 
Kariata,Diaby,LFB,2024,O
Pauline,Astier,LFB,2024,O
MJ,Musa,LFB,2024,O
Ameryst,Alston,LFB,2024,O
Luisa,Gelseisoder,LFB,2024,O
Artemis,Spannou,LFB,2024,O
Amy,Okonkwo,LFB,2024,O
Morgan,Green,LFB,2024,O
Nausia,Woolfok,LFB,2024,O
Camille,Droguet,LFB,2024,O
Clarince ,Djaldi-Tabdi ,LFB,2024,O
Emmanuelle,Tahane,LFB,2024,O
Mariama,Daramy,LF2,2023,N
Ashten,Prechtel,LF2,2023,N
Helene,Jakovljevic,LF2,2023,N
Lucile,Jerome,LF2,2023,N
Astou,Gaye,LF2,2023,N
Fleur,Devillers,LF2,2023,N
Rosanne,Le Seyec,LF2,2023,N
Shelby,Saint Juste,LF2,2023,N
Stepha,Mbaye,LF2,2023,N
Manoe,Cisse,LF2,2023,N
Eve,Mahoutou,LF2,2023,N
Elise,Marie,LF2,2023,N
Kendall,Cooper,LF2,2023,S
Aurore,Pautou,LF2,2023,S
Fabienne,Constant,LF2,2023,S
Alexa,Middleton,LF2,2023,S
Laura,Oliveira,LF2,2023,S
Jade,Philips,LF2,2023,S
Linnea,Harper,LF2,2023,S
Nicole,Enabosi,LF2,2023,S
Emily,Prugnieres,LF2,2023,S
Oumou,Diarisso,LF2,2023,S
Blessing,Ejiofor,LF2,2023,S
Isabelle,Strunc,LF2,2023,S
Lucile,Jérôme,LF2,2024,N
Aurore,Pautou,LF2,2024,N
Nukiya,Mayo,LF2,2024,N
Hélène,Jakovljevic,LF2,2024,N
Célia,Cardenal,LF2,2024,N
Ashunae,Durant,LF2,2024,N
Morgan,Batey,LF2,2024,N
Shelby,Saint Juste,LF2,2024,N
Laetitia,Sahie,LF2,2024,N
Fleur,Devillers,LF2,2024,N
Fayzat,Djoumoi,LF2,2024,N
Joelly,Belleka,LF2,2024,N
Binta,Dramé,LF2,2024,S
Rebecca,Tsobgny,LF2,2024,S
Emily,Prugnieres,LF2,2024,S
Manoé,Cissé,LF2,2024,S
Stepha,M’Baye,LF2,2024,S
Camille,Zimmerman,LF2,2024,S
Fatoumata,Touré,LF2,2024,S
Fabienne,Constant,LF2,2024,S
Nabala,Fofana,LF2,2024,S
Lena,Timera,LF2,2024,S
Leck-Olivia,Yale,LF2,2024,S
Mariana,Muadi,LF2,2024,S
Emmanuelle,Tahane,LFB,2025,E 
Sokhna,Fall,LFB,2025,E 
Nell,Angloma,LFB,2025,E 
Romane,Bernies,LFB,2025,E 
Samantha,Breen,LFB,2025,E 
Mariama,Daramy,LFB,2025,E 
Nukiya,Mayo,LFB,2025,E 
Noemie,Brochant,LFB,2025,E 
Coline,Franchelin,LFB,2025,E 
Tiffany,Clarke,LFB,2025,E 
Alexis,Peterson,LFB,2025,E 
Dayshanette,Harris,LFB,2025,E 
Jasmine,Bailey,LFB,2025,O
Leila,Lacan,LFB,2025,O
Camille,Droguet,LFB,2025,O
Trinity,San Antonio,LFB,2025,O
Elizabeth,Balogun,LFB,2025,O
Nicole,Enabosi,LFB,2025,O
Stella,Johnson,LFB,2025,O
Anna,Ngo Ndjouk,LFB,2025,O
Laura,Mendez,LFB,2025,O
Cornelia,Fondren,LFB,2025,O
Laetitia,Sahie,LFB,2025,O
Harmoni ,Turner,LFB,2025,O
Djénéba ,N'Diaye ,LF2,2025,N
Axelle,Mikorek,LF2,2025,N
Alison,Lewis,LF2,2025,N
Ines,Nezerwa,LF2,2025,N
Joelly,Belleka,LF2,2025,N
Lou,Bobst,LF2,2025,N
Anya,Poole,LF2,2025,N
Kendall,Cooper,LF2,2025,N
Davina,Kasongo,LF2,2025,N
Eva,Faillot,LF2,2025,N
Nathalie,Desset,LF2,2025,N
Yo’myris,Morris ,LF2,2025,N
Daniela,Dibanzilua,LF2,2025,S
Julie,Tetard,LF2,2025,S
Fabienne,Constant,LF2,2025,S
Manaelle,Yerbe,LF2,2025,S
Rachel,Clet,LF2,2025,S
Lena,Timera,LF2,2025,S
Aurore,Pautou,LF2,2025,S
Jade,Phillips,LF2,2025,S
Ashunae,Durant,LF2,2025,S
Pauline,Lanfant,LF2,2025,S
Emma ,Broliron,LF2,2025,S
Maud,Stervinou,LF2,2025,S
