prenom,nom,ligue,annee,rang
Alexis,Peterson,LFB,2024,1
Carla,Leite,LFB,2024,1
Kamiah,Smalls,LFB,2024,1
Kennedy,Burke,LFB,2024,1
Kayla,Alexander,LFB,2024,1
Romane,Bernies,LFB,2024,2
Pauline,Astier,LFB,2024,2
Janelle,Salaun,LFB,2024,2
Alisa,Jenkins,LFB,2024,2
Doms,Malonga,LFB,2024,2
Sarah,Michel,LFB,2024,3
Jasmine,Bailey,LFB,2024,3
Amy,Okonkwo,LFB,2024,3
Shakayla,Thomas,LFB,2024,3
Tiffany,Clarke,LFB,2024,3
Monique,Akoa,LFB,2025,1
Carla,Leite,LFB,2025,1
Leila,Lacan,LFB,2025,1
Tiffany,Clarke,LFB,2025,1
Kariata,Diaby,LFB,2025,1
Pauline,Astier,LFB,2025,2
DF,Mendjiadeu,LFB,2025,2
Amy,Okonkwo,LFB,2025,2
Shakayla,Thomas,LFB,2025,2
Doms,Malonga,LFB,2025,2
Romane,Bernies,LFB,2025,3
Brooke,McCarty,LFB,2025,3
Nausia,Woolfok,LFB,2025,3
MJ,Musa,LFB,2025,3
Luisa,Geiselsoder,LFB,2025,3
Helena,Jakovljevic,LF2,2024,1
Jade,Phillips,LF2,2024,1
Mariama,Darami,LF2,2024,1
Kendall,Cooper,LF2,2024,1
Ashten,Prechtel,LF2,2024,1
Cornella,Fondren,LF2,2024,2
Laura,Oliveira,LF2,2024,2
Nicole,Enabosi,LF2,2024,2
Aurore,Pautou,LF2,2024,2
Fabienne,Constant,LF2,2024,2
Lucile,Jerome,LF2,2024,3
Binta,Dramé,LF2,2024,3
Fleur,Devillers,LF2,2024,3
Astou,Gaye,LF2,2024,3
Blessing,Ejiofor,LF2,2024,3
Rebecca,Tsobgny,LF2,2025,1
Binta,Dramé,LF2,2025,1
Nukiya,Mayo,LF2,2025,1
Aurore,Pautou,LF2,2025,1
Emily,Prugnieres,LF2,2025,1
Yvanna,Enjolvy,LF2,2025,2
Celia,Cardenal,LF2,2025,2
Fleur,Devillers,LF2,2025,2
Muadi,Bulabula,LF2,2025,2
Fabienne,Constant,LF2,2025,2
Lucile,Jerome,LF2,2025,3
Manoe,Cissé,LF2,2025,3
Fatoumata,Touré,LF2,2025,3
Olivia,Yale,LF2,2025,3
Laetitia,Sahie,LF2,2025,3
