forename,name,equipe,Match 1,Match 2,Match 3,Match 4,match,rating
Aby,Diallo,,,,,,,6.46
Adele,Dreano-T,,,,,,,8.06
Aicha,Camara,,,,,,,7.56
Ainoah,Rio,,,,,,,6.96
Alison,Lewis,,,,,,,8.35
Alix,Gibrat,,,,,,,6.25
Amali,Montout,,,,,,,7.43
Amance,Kerbaul,,,,,,,7.68
Amex-Anne,Deschamps,,,,,,,6.46
Amina,Traore,,,,,,,6.26
Ange,T. Lorciere,,,,,,,6.25
Anya,Poole,,,,,,,8.88
Arzhelenn,Chavoutier,,,,,,,7.30
Ashunae,Durant,,,,,,,8.57
Astou,Gaye,,,,,,,7.78
Astrid,Courbot,,,,,,,6.52
Aurélie,Jean Louis,,,,,,,5.84
Aurore,Pautou,,,,,,,9.45
Axelle,Mikorek,,,,,,,8.48
Bigué,Sarr,,,,,,,7.05
Bright,K. Aman,,,,,,,6.84
Cameron,Kolissoko,,,,,,,6.17
Camille,Lenglet,,,,,,,7.34
Camille,Sevaux,,,,,,,8.21
Carinne,N. Silatsa,,,,,,,8.65
Charlie,Girod,,,,,,,6.31
Cindy,Perdriau,,,,,,,6.34
Clara,Causeur,,,,,,,7.57
Clarance,Kongo,,,,,,,6.26
Clarisse,Vergiat,,,,,,,7.26
Clémence,Collin,,,,,,,6.00
Cristal,S. Zeutsop,,,,,,,6.88
Daniela,Dibanzilua,,,,,,,9.09
Davina,Kasongo,,,,,,,7.89
Desiree,Bakabadio,,,,,,,8.26
Dieyneba,Niang,,,,,,,7.27
Djeneba,Ndiaye,,,,,,,7.80
Dorcas,Nganfina,,,,,,,6.84
EC,Maquiesse,,,,,,,6.55
Eiza,Louveton,,,,,,,6.92
Eleana,Moise,,,,,,,6.90
Eloise,Pavrette,,,,,,,6.67
Emilie,Raynaud,,,,,,,7.54
Emma,Broliron,,,,,,,8.45
Emma,Villas-Gomis,,,,,,,7.58
Eva,Faillot,,,,,,,8.22
Fabienne,Constant,,,,,,,8.22
Fleur,Devillers,,,,,,,6.88
Genesia,Mayele,,,,,,,8.12
Hatoumata,Diakite,,,,,,,7.84
Ilona,Hattab,,,,,,,6.80
Inès,Nezerwa,,,,,,,8.76
Jade,Ferré,,,,,,,6.77
Jade,Marmillod,,,,,,,6.32
Jade,Philips,,,,,,,8.66
Jasmine,Mamouni,,,,,,,6.90
Jenny,Fouasseau,,,,,,,7.97
Joelly,Belleka,,,,,,,8.54
Julie,Marson,,,,,,,6.81
Julie,Tetart,,,,,,,9.48
Juliette,Sadura,,,,,,,5.56
Justine,Mouyokolo,,,,,,,6.69
Justine,Soulard,,,,,,,7.65
K-E,Otto,,,,,,,7.80
Kendall,Cooper,,,,,,,8.08
Khadidiatou,Diouf,,,,,,,7.59
Khadijah,Brown,,,,,,,7.27
Kimsy,Demontoux,,,,,,,6.66
Kolby,Morgan,,,,,,,7.13
Lauryn,Vieira,,,,,,,7.76
Léa,Djoko,,,,,,,6.42
Lena,Monasse,,,,,,,6.86
Lena,Timera,,,,,,,7.89
Lina,Fimbo,,,,,,,6.15
Lola,Foirest,,,,,,,7.58
Lou,Bobst,,,,,,,8.32
Louane,Foirest,,,,,,,6.48
Ludivine,Marie,,,,,,,8.11
Lysa,Millavet,,,,,,,6.76
Maellyne,Ravin,,,,,,,5.32
Maelynn,Elmira-Eudaric,,,,,,,6.78
Mame,Gueye,,,,,,,7.28
Manaelle,Yerbe,,,,,,,9.08
Manon,Von Banck,,,,,,,6.23
Margot,Ounounou,,,,,,,7.56
Marguerite,Effa,,,,,,,7.27
Mariama,N'diaye,,,,,,,6.40
Marine,Mulumba,,,,,,,7.53
Maroussia,Droguet,,,,,,,7.31
Martina,Bestagno,,,,,,,7.21
Maty,Fall,,,,,,,7.10
Maud,Stervinou,,,,,,,8.09
Melissa,Guillet,,,,,,,7.15
Michaela,Vanderklugt,,,,,,,8.83
Morgane,Armant,,,,,,,8.11
Nabala,Fofana,,,,,,,7.88
Naelle,Bernard,,,,,,,7.33
Nathalie,Desset,,,,,,,7.83
Neyvaeh,Marcin,,,,,,,7.16
Nina,Seilly,,,,,,,6.66
Pauline,Lithard,,,,,,,8.21
Pauline,Perret,,,,,,,5.54
Pauline,Lanfant,,,,,,,8.01
Rachel,Clet,,,,,,,7.36
Ramouna,Vitta,,,,,,,6.24
Rose,Micheaux,,,,,,,8.23
Samantha,Peytour,,,,,,,8.72
Sara,Crudo,,,,,,,6.13
Sarah,Saint-Martin,,,,,,,6.30
Shelby,Saint Juste,,,,,,,7.30
Stacy,Chovino,,,,,,,7.78
Stella,Mavuanga,,,,,,,8.17
Stella,Kessler,,,,,,,7.00
Stepha,M'baye,,,,,,,8.06
Thelma,Leray,,,,,,,6.53
Ti'lan,Boler,,,,,,,7.42
Tilise,Boisseron,,,,,,,7.29
Verdine,T. Warner,,,,,,,5.73
Yo'myris,Morris,,,,,,,7.63
Zarah,Velleyen,,,,,,,6.91
