forename,name,equipe,Match 1,Match 2,Match 3,Match 4,match,rating
Genesia,Mayele,Flammes,10,"7,9225","7,61","9,831",4,"8,840875"
Nina,Seilly,Flammes,"8,4605","6,1465","6,29","6,5355",4,"6,858125"
Lena,Monasse,Flammes,"7,127",5,"6,02","7,7545",4,"6,475375"
Jasmine,Mamouni,Flammes,"7,5345","5,6385","5,56",5,4,"5,93325"
Desiree,Bakabadio,Flammes,"8,077","8,8505","6,42","8,2125",4,"7,89"
Khadijah,Brown,dddd,,"6,4835","9,3","6,438",3,"7,407166667"
Astou,Gaye,ddd,,"8,0755","6,82","9,3375",3,"8,077666667"
Margaux,Baxs,Flammes,"5,0815",,,,1,"5,0815"
Anae,Leleu,Flammes,"5,224",,,,1,"5,224"
Djeneba,Ndiaye,Flammes,"6,414","8,964","8,93","7,311",4,"7,90475"
Maty,Fall,Flammes,"9,145","7,9685","6,31","5,942",4,"7,341375"
Alaina,Rice,Flammes,"9,149","5,4645",,,2,"7,30675"
Ludivine,Marie,BLMA,"9,164",10,"7,3","7,904",4,"8,592"
Stacy,Chovino,BLMA,"7,77","8,579","7,59","7,711",4,"7,9125"
Jade,Ferré,BLMA,"7,8995","7,62","7,39","7,929",4,"7,709625"
Sabrine,Bouzenna,BLMA,,,,"5,071",1,"5,071"
Jenny,Fouasseau,BLMA,"7,227","7,864",,"5,481",3,"6,857333333"
M-B,Mbuyamba,BLMA,"6,825",,,,1,"6,825"
Dieyneba,Niang,BLMA,"6,5255","6,676",9,"6,431",4,"7,158125"
Clara,Causeur,dddd,,"7,642","6,99","7,673",3,"7,435"
Jade,Marmillod,BLMA,5,5,"5,74","6,888",4,"5,657"
Axelle,Mikorek,BLMA,10,"7,5815","7,17",10,4,"8,687875"
Justine,Mouyokolo,Basket Landes,"7,8245","6,3705","6,38","6,5445",4,"6,779875"
Yo'myris,Morris,Basket Landes,"7,4495","6,468",,"6,085",3,"6,6675"
Camille,Lenglet,Basket Landes,"6,882","6,5205","6,49","8,334",4,"7,056625"
Marguerite,Effa,Basket Landes,"6,783","7,2165",,,2,"6,99975"
Nathalie,Desset,Basket Landes,"6,306","6,1535","7,04","8,3005",4,"6,95"
Maëlys,Sanctussy,Basket Landes,"6,509","5,0145",,"5,8285",3,"5,784"
Marguerite,Effa Mfegue,Basket Landes,,,"6,69","8,223",2,"7,4565"
Manon,Von Banck,Basket Landes,,5,"6,31",5,3,"5,436666667"
EC,Maquiesse,Basket Landes,,"5,095","8,53","5,067",3,"6,230666667"
Emilie,Raynaud,Basket Landes,"9,5705","7,036","5,74","6,7085",4,"7,26375"
Dorcas,Nganfina,Basket Landes,"7,33","5,5955",5,"5,715",4,"5,910125"
Stepha,M'baye,Basket Landes,"8,327","8,809","9,46","7,0885",4,"8,421125"
Carla,Mbaye,Basket Landes,,,"7,04",5,2,"6,02"
Rachel,Clet,Landerneau,"7,857","7,2045","7,35","7,532",4,"7,485875"
Mariama,N'diaye,Landerneau,"6,4775","5,309","5,92","5,274",4,"5,745125"
Eiza,Louveton,Landerneau,"6,2205","6,793","5,92","5,812",4,"6,186375"
Rose,Micheaux,Landerneau,"6,3255","8,369","5,15",10,4,"7,461125"
Evie,Poulain,Landerneau,5,,,"6,975",2,"5,9875"
Inès,Nezerwa,Landerneau,10,10,"8,02","7,678",4,"8,9245"
Lola,Foirest,Landerneau,,,"7,8405","7,8405",2,"7,8405"
Johanna,Muzet,Landerneau,"7,381","6,8845",,,2,"7,13275"
Eloise,Pavrette,Landerneau,"7,296","8,2445","5,28","5,84",4,"6,665125"
Lou,Bobst,Landerneau,"5,9335","8,7735",10,"7,0845",4,"7,947875"
Sena,Sert,Roche Vendée,"6,8885",5,"5,06","6,4415",4,"5,8475"
Naelle,Bernard,Roche Vendée,"7,092","6,173","9,61","6,0505",4,"7,231375"
Aurélie,Jean Louis,Roche Vendée,"6,5565","6,1445",5,5,4,"5,67525"
Alison,Lewis,Roche Vendée,"7,4375","8,2195","9,65","8,337",4,"8,411"
Ramouna,Vitta,Roche Vendée,5,"5,2265","7,46","5,0045",4,"5,67275"
Astrid,Courbot,Roche Vendée,"7,16","6,2265","7,58","5,2435",4,"6,5525"
Kathy-Emma,Otto,Roche Vendée,"7,1965","7,73","8,06","8,0965",4,"7,77075"
Camille,Sevaux,Roche Vendée,"6,7",10,"7,29","8,1935",4,"8,045875"
Emma,Broliron,Roche Vendée,"8,4555","6,822","9,7","8,2645",4,"8,3105"
Louane,Foirest,Roche Vendée,"6,5415",,"5,79","6,138",3,"6,1565"
Alix,Gibrat,Roche Vendée,"6,2805",,"7,4",5,3,"6,226833333"
Ange,Thermoz Lorciere,Roche Vendée,"5,1525","6,3125",5,"5,9115",4,"5,594125"
Thelma,Leray,Roche Vendée,"6,3025","5,468","7,85","6,5135",4,"6,5335"
Neyvaeh,Marcin,Roche Vendée,"5,711","7,744","7,41","6,4465",4,"6,827875"
Eleana,Moise,Chartres,"8,611","6,32","7,42","7,243",4,"7,3985"
Kendall,Cooper,Chartres,"7,078","6,629","9,53","9,957",4,"8,2985"
Pauline,Lithard,Chartres,"8,505","6,49","8,02","7,1855",4,"7,550125"
Adele,Dreano-Trecant,Chartres,"8,274","5,491","7,85","7,2325",4,"7,211875"
Mame,Gueye,Chartres,"6,6365","6,441","8,84","7,9725",4,"7,4725"
Bigué,Sarr,Chartres,"6,9","5,053","7,21","6,733",4,"6,474"
Léa,Djoko,Chartres,5,"6,873","6,47","5,2755",4,"5,904625"
Stella,Mavuanga,Chartres,"6,7915","7,0805",10,"9,8525",4,"8,431125"
Fleur,Devillers,Bourges,"5,0205","6,7085","7,18","7,0345",4,"6,485875"
Aicha,Camara,Bourges,10,"7,2405","7,38","6,649",4,"7,817375"
Michaela,Vanderklugt,Bourges,"8,629","6,5315",10,"9,6695",4,"8,7075"
Clarisse,Vergiat,Bourges,"8,1035","6,3345","5,79","8,67",4,"7,2245"
Julie,Marson,Bourges,"9,9635","6,1525",5,"9,999",4,"7,77875"
Manaelle,Yerbe,Bourges,"8,3685",10,"9,25","8,7345",4,"9,08825"
Cristal,Sontia Zeutsop,Bourges,"6,8425","5,7245","8,17","6,695",4,"6,858"
Amance,Kerbaul,Bourges,"6,3935","7,982","8,34",10,4,"8,178875"
Verdine,Tahesha Warner,Bourges,"6,255","6,2365","5,81","5,269",4,"5,892625"
Zarah,Velleyen,Lyon,"5,0215","9,2555","5,68",,3,"6,652333333"
Julie,Tetart,Lyon,10,"7,1665",10,10,4,"9,291625"
Martina,Bestagno,Lyon,"7,943","6,8875","9,42","5,596",4,"7,461625"
Sara,Crudo,Lyon,"7,217",,,,1,"7,217"
Arzhelenn,Chavoutier,Lyon,"7,03","6,8245","7,99","6,0775",4,"6,9805"
Kimsy,Demontoux,Lyon,"6,673","5,4185",7,"7,2535",4,"6,58625"
Anouk,Brun,ddddd,,"5,4435","5,47",,2,"5,45675"
Ilona,Hattab,ddd,,"6,877","7,27","5,915",3,"6,687333333"
Lysa,Millavet,ddddd,,"5,109","5,58","7,796",3,"6,161666667"
Philippine,Delpech,dddfee,,5,,,1,5
Amina,Traore,Lyon,"5,12","6,656","5,07",,3,"5,615333333"
Maud,Stervinou,Lyon,"6,0965","7,23","7,45","8,4175",4,"7,2985"
Lauryn,Vieira,Charnay,"8,6725","8,331","6,53","8,257",4,"7,947625"
Khadidiatou,Diouf,Charnay,"8,5605","8,2545","9,07","7,3365",4,"8,305375"
Eva,Faillot,Charnay,"8,487","7,529","8,58","6,419",4,"7,75375"
Bright,Kerryne Aman,Charnay,"7,239","7,6605","5,45","7,839",4,"7,047125"
Anya,Poole,Charnay,"6,84",10,"7,26","8,07",4,"8,0425"
Margot,Ounounou,Charnay,"7,4205","9,29","5,63","6,2125",4,"7,13825"
Sarah,Saint-Martin,Charnay,"5,042","7,3625","6,82","6,261",4,"6,371375"
Stella,Kessler,Charnay,"5,9095","7,3435","5,43","7,2665",4,"6,487375"
Clarance,Kongo,Charnay,"5,1","5,099",,"6,4375",3,"5,5455"
Manon,Simplot,Charnay,5,"5,408",,"7,173",3,"5,860333333"
Ashunae,Durant,Charnay,"8,8145","9,5125","9,88",10,4,"9,55175"
Aurore,Pautou,Charnay,,,"9,97","8,364",2,"9,167"
Morgane,Armant,Charnay,"9,408","9,202",10,"8,4955",4,"9,276375"
Melissa,Guillet,Charnay,"9,5605","7,3045","8,1","5,7435",4,"7,677125"
Tilise,Boisseron,Charnay,"8,476","5,23","8,61","7,001",4,"7,32925"
Ainoah,Rio,Charnay,"8,2445","6,248","7,94","6,55",4,"7,245625"
Maelynn,Elmira-Eudaric,Charnay,"8,054","6,683","6,08","7,3535",4,"7,042625"
Maroussia,Droguet,Charnay,"6,614","7,6045","9,22","8,551",4,"7,997375"
Léa,Fontanelle,Charnay,,,"6,71",,1,"6,71"
Mariss,Miekountima,Charnay,,,6,,1,6
Amex-Anne,Deschamps,Charnay,"5,0525","5,964","6,84",,3,"5,952166667"
Hatoumata,Diakite,Charnay,"9,1265",10,"7,8375","8,3575",4,"8,830375"
Davina,Kasongo,Charnay,10,"5,4965","7,37","7,158",4,"7,506125"
Shelby,Saint Juste,Charnay,"7,865","7,488","7,93","6,051",4,"7,3335"
