forename,name,equipe,Match 1,Match 2,Match 3,match 4,match,rating
Noemie,Brochant,Flammes,"7,683","7,761","9,522",10,4,"8,7415"
Coline,Franchelin,Flammes,"7,7475","7,259",10,"7,6375",4,"8,161"
Elizabeth,Dixon,Flammes,"8,9165","6,407","8,3825","6,4305",4,"7,534125"
Ashley,Joens,Flammes,"6,74","6,397","9,3865","6,8985",4,"7,3555"
Tiffany,Clarke,Flammes,"8,3705","7,164","9,276","7,9645",4,"8,19375"
Lucile,Jerome,Flammes,"5,425","9,2325","7,18","7,6215",4,"7,36475"
Dione,Madjo,Flammes,,,"8,5525",,1,"8,5525"
Isabelle,Strunc,Flammes,"7,631","7,355","5,268",5,4,"6,3135"
Maia,Hirsch,Flammes,"6,6875","8,6005","5,225","7,6935",4,"7,051625"
Tenin,Magassa,Flammes,5,"7,2075",,,2,"6,10375"
Vaciana,Gomis,Flammes,"5,2915",5,"9,1745","5,6295",4,"6,273875"
Julie,Pospisilova,BLMA,"6,844","9,9445","5,891","7,1955",4,"7,46875"
Sarah,Cisse,BLMA,"7,491","7,242","6,0275","5,873",4,"6,658375"
Nell,Angloma,BLMA,"8,8635","9,265","8,512",10,4,"9,160125"
Samantha,Breen,BLMA,"6,7225",10,"6,4525","7,6515",4,"7,706625"
Romane,Bernies,BLMA,8,"9,7815",10,"7,087",4,"8,717125"
Qadashah,Hoppie,BLMA,10,"8,622","6,7095","6,094",4,"7,856375"
Garance,Rabot,BLMA,"5,803","6,9115","5,4715","5,825",4,"6,00275"
Christelle,Diallo,BLMA,"7,107","6,129","6,6075",5,4,"6,210875"
Julie,Wojta,Basket Landes,"6,6265",10,"9,1665","6,9315",4,"8,181125"
Marie,Pardon,Basket Landes,"6,589",5,"8,938",,3,"6,842333333"
Camille,Droguet,Basket Landes,"8,4875","8,0805","9,242","7,159",4,"8,24225"
Myriam,Djekoundade,Basket Landes,"8,699","7,0475",5,"5,8625",4,"6,65225"
MJ,Musa,Basket Landes,10,"7,062","8,99","8,975",4,"8,75675"
Yohana,Ewodo,Basket Landes,"6,8755","6,0845","9,0625","7,673",4,"7,423875"
Sixtine,Macquet,Basket Landes,"5,369","6,924","8,473","8,445",4,"7,30275"
Becky,Massey,Basket Landes,"6,8215","7,1605","8,018","7,855",4,"7,46375"
Louise,Bussiere,Basket Landes,"6,686","6,0125",10,"8,2955",4,"7,7485"
Leila,Lacan,Basket Landes,,,"7,7615",10,2,"8,88075"
Elizabeth,Balogun,Landerneau,"9,539","7,877","8,5645","7,7305",4,"8,42775"
Masseny,Kaba,Landerneau,"8,211","7,4675","7,2015","8,7225",4,"7,900625"
Sophia,Elenga,Landerneau,"5,446",10,"7,1465","7,503",4,"7,523875"
Harmoni,Turner,Landerneau,5,"9,0795","7,8375","9,0415",4,"7,739625"
Rebecca,Tsobgny,Landerneau,"6,842","7,3325","7,2115","6,4925",4,"6,969625"
Cornelia,Fondren,Landerneau,"8,992","9,069","8,244","8,715",4,"8,755"
Tess,Barbosa,Landerneau,,"6,9345",,,1,"6,9345"
Camryn,Taylor,Landerneau,,,5,"6,368",2,"5,684"
Adja,kane,Landerneau,,,,5,1,5
Stella,Johnson,Roche Vendée,"7,2115","8,972","7,9805","8,42",4,"8,146"
Juicy,Landrum,Roche Vendée,"7,358","7,1695","8,3515","6,9695",4,"7,462125"
Laura,Evrard,Roche Vendée,"7,3415","6,7265","5,0075","6,6025",4,"6,4195"
Sarah,Ousfar,Roche Vendée,"6,267","5,5745","5,484","8,1405",4,"6,3665"
Rita,Igbokwe,Roche Vendée,"7,4755",10,"9,2955","6,632",4,"8,35075"
Laetitia,Sahie,Roche Vendée,"6,3505","7,567","6,8945",10,4,"7,703"
