forename,name,equipe,Match 1,Match 2,Match 3,match 4,match,rating
Adja,Kane,,,,,,,6.57
Ainhoa,Risacher,,,,,,,7.1
Aleksa,Gulbe,,,,,,,8.14
Alexia,Chery,,,,,,,7.88
Alexis,Peterson,,,,,,,8.73
Alix,Duchet,,,,,,,8.45
Ameryst,Alston,,,,,,,8.36
Anna,Ngo Ndjock,,,,,,,8.36
Assetou,Traore,,,,,,,6.42
Assitan,Kone,,,,,,,7.33
Awa,Trasi,,,,,,,6.71
Batabe,Zempare,,,,,,,6.88
Becky,Massey,,,,,,,7.34
Binta,Drame,,,,,,,7.15
Camille,Droguet,,,,,,,8.31
Christelle,Diallo,,,,,,,6.51
Claire,Dalstra,,,,,,,6.28
Clarisse,Legrand,,,,,,,7.22
Coline,Franchelin,,,,,,,8.62
Coralie,Chabrier,,,,,,,6.38
Dayshanette,Harris,,,,,,,8.56
Diana ,Balayera,,,,,,,6.6
Elena,Zemoura,,,,,,,5.61
Elise,Marie,,,,,,,6.21
Elizabeth,Dixon,,,,,,,8.79
Elizabeth,Balogun,,,,,,,8.32
Elodie,Naigre,,,,,,,6.95
Emily,Prugnieres,,,,,,,7.24
Emma,Peytour,,,,,,,5.75
Emmanuelle,Tahane,,,,,,,8.22
Eve,Mahoutou,,,,,,,7.05
Fatoumata,Toure,,,,,,,7.16
Garance,Rabot,,,,,,,6.82
Harmoni,Turner,,,,,,,8.6
Ines,Pitarch-Granel,,,,,,,6.43
Isabelle,Strunc,,,,,,,6.52
Iva,Slonsjak,,,,,,,7.05
Jasmine,Bailey,,,,,,,8.42
Jess-Mine,Zodia,,,,,,,8.66
Jessica,Lindstrom,,,,,,,8.32
Jessica,Mavambou,,,,,,,5.85
Juicy,Landrum,,,,,,,8.11
Julie,Pospisilova,,,,,,,7.37
Julie,Wojta,,,,,,,7.79
Justine,Loubens,,,,,,,6.92
Kariata,Diaby,,,,,,,8.49
Kekelly,Elenga,,,,,,,6.84
Laetitia,Sahie,,,,,,,8.15
Laetitia,Guapo,,,,,,,7.35
Laura,Evrard,,,,,,,7.12
Laura,Mendez,,,,,,,7.95
Leila,Lacan,,,,,,,8.39
Louise,Bussiere,,,,,,,7.52
Louise,Preneau,,,,,,,6.52
Lucile,Jerome,,,,,,,6.88
M-M,Milapie,,,,,,,7
Madison,Williams,,,,,,,7.61
Maeva,Djalbi-Tabdi,,,,,,,7.51
Maia,Hirsch,,,,,,,7.5
Manoe,Cisse,,,,,,,7.18
Margot,De Freitas,,,,,,,6.94
Mariama,Daramy,,,,,,,7.78
Marie,Pardon,,,,,,,6.82
Marie-Eve,Paget,,,,,,,6.94
Marine,Dursus,,,,,,,7.47
Masseny,Kaba,,,,,,,7.94
Maye,Toure,,,,,,,7.04
MJ,Musa,,,,,,,7.81
MP,Dally,,,,,,,7.69
Myriam,Djekoundade,,,,,,,6.6
Nell,Angloma,,,,,,,8.68
Nicole,Enabosi,,,,,,,8.89
Noemie,Brochant,,,,,,,8.48
Oumou,Diarisso,,,,,,,7.46
Qadashah,Hoppie,,,,,,,7.58
Rebecca,Tsobgny,,,,,,,6.53
Rita,Igbokwe,,,,,,,7.77
Romane,Bernies,,,,,,,8.56
Rosanne,Le Seyec,,,,,,,6.23
Samantha,Breen,,,,,,,7.82
Sara,Scalia,,,,,,,7.86
Sara,Chevaugeon,,,,,,,7.8
Sarah,Cisse,,,,,,,7.42
Sarah,Ousfar,,,,,,,7.25
Shakayla,Thomas,,,,,,,8.33
Sixtine,Macquet,,,,,,,7.38
Sokhna,Fall,,,,,,,8.18
Sophia,Elenga,,,,,,,7.13
Stella,Johnson,,,,,,,6.43
Stella,Colas,,,,,,,8.71
Terezia,Palenikova,,,,,,,6.8
Tiffany,Clarke,,,,,,,8.7
Tima,Pouye,,,,,,,8.56
Trinity,San Antonio,,,,,,,8.45
Vaciana,Gomis,,,,,,,6.75
Yohana,Ewodo,,,,,,,7.07
Yvanna,Enjolvy,,,,,,,7.43
